circRNA,disease,miRNA
hsa_circ_0000119,Nasopharyngeal carcinoma,hsa-miR-135a-3p.
hsa_circ_0000119,Oral squamous cell carcinoma,hsa-miR-135a-3p.
hsa_circ_0000119,Ovarian cancer,hsa-miR-135a-3p.
hsa_circ_0000119,Polycystic ovary syndrome,unknown
hsa_circ_0000119,Thyroid cancer,hsa-miR-135a-3p.
hsa_circ_0013745,Chronic myeloid leukemia,unknown
hsa_circ_0002059,Hypopharyngeal carcinoma,unknown
hsa_circ_0009910,Acute myeloid leukemia,unknown
hsa_circ_0009910,Hepatocellular carcinoma,unknown
hsa_circ_0009910,Hepatocellular carcinoma,unknown
hsa_circ_0009910,Osteosarcoma,unknown
hsa_circ_0009910,Ovarian cancer,unknown
hsa_circ_0006470,Gastric cancer,unknown
hsa_circRNA_10008,Breast cancer,unknown
hsa_circ_0005986,Hepatocellular carcinoma,unknown
hsa_circ_0000003,Tongue squamous cell carcinoma,unknown
hsa_circ_0013912,Pancreatic cancer,unknown
hsa_circRNA_100323,Lung cancer,"miR-29, CDK6"
hsa_circRNA_100323,Ovarian cancer,unknown
hsa_circ_0014010,Heart failure,unknown
hsa_circ_0003439,Lung cancer,unknown
hsa_circ_0000128,Pancreatic cancer,unknown
hsa_circ_0014130,Colon cancer,unknown
hsa_circ_0014130,Gastric cancer,miR-376c-3p
hsa_circ_0014130,Glioblastoma,unknown
hsa_circ_0014130,Non-small cell lung cancer,"hsa-miR-892a, hsa-miR-216a-3p, hsa-miR-302c-3p, hsa-miR-493-5p, hsa-miR-200c-5p"
hsa_circ_0014130,Lung cancer,unknown
hsa_circ_0014130,Ovarian cancer,unknown
hsa_circ_0006892,Chronic obstructive pulmonary disease,unknown
hsa_circ_0014235,Lung cancer,unknown
hsa_circ_0014243,Essential hypertension,unknown
hsa_circ_0014350,Myocarditis,unknown
hsa_circ_0014359,Glioblastoma,miR-153
hsa_circ_0014614,Proliferative diabetic retinopathy,unknown
hsa_circ_0014635,Proliferative vitreoretinopathy,unknown
hsa_circ_0005758,Gastric cancer,unknown
hsa_circ_0000140,Gastric cancer,"miR-185-3p, miR-4638-3p"
hsa_circ_0000140,Oral squamous cell carcinoma,"miR-195-5p, miR-29a-3p, miR-29c-3p, CDC42, AR"
hsa_circ_0000142,Multiple myeloma,unknown
hsa_circ_0014717,Hepatocellular carcinoma,unknown
hsa_circ_0014717,Colorectal cancer,unknown
hsa_circ_0004680,Colorectal cancer,unknown
hsa_circ_0004680,Gastric cancer,"hsa-miR-141-5p, hsa-miR-625-5p, hsa-miR-143-3p, hsa-miR-124-5p, hsa-miR-191-3p"
hsa_circ_014724,Hepatic steatosis,unknown
hsa_circETV3,Prostate cancer,unknown
hsa_circ_0000005,Glioblastoma,unknown
hsa_circ_0000006,Osteosarcoma,unknown
hsa_circ_0014879,radioresistant esophageal cancer cells,unknown
hsa_circ_0000144,Gastric cancer,unknown
hsa_circ_0000144,Thyroid cancer,unknown
hsa_circ_0000144,Bladder cancer,unknown
hsa_circ_0010090,Hepatocellular carcinoma,miR-346
hsa_circ_0014961,Breast cancer,unknown
hsa_circSDHC,Renal cell carcinoma,unknown
hsa_circ_0000147,Prostate cancer,unknown
hsa_circ_0000154,Gastric cancer,miR-558
hsa_circ_0009109,Gastric cancer,unknown
hsa_circ_0000543,Gastric cancer,unknown
hsa_circ_0015115,T2DM with depression,unknown
hsa_circ_0004370,Gastric cancer,unknown
hsa_circ_0004370,Esophageal cancer,unknown
hsa_circDNM3OS,Cholangiocarcinoma,unknown
hsa_circ_0015260,Osteoarthritis,unknown
hsa_circ_0010170,Pterygium,unknown
hsa_circ_100395,Liver cancer,unknown
hsa_circ_0015278,Ovarian cancer,unknown
hsa_circ_0015278,Lung cancer,unknown
hsa_circ_0015278,Papillary thyroid carcinoma,"hsa-miR-141-3p, hsa-miR-588, hsa-miR-660-3p, hsa-miR-136-5p, hsa-miR-200a-3p"
hsa_circ_0015288,Pterygium,unknown
hsa_circ_0015295,Pterygium,unknown
hsa_circ_0015310,Pterygium,unknown
hsa_circ_0015326,Ovarian cancer,unknown
hsa_circ_0009361,Colorectal cancer,unknown
hsa_circ_0009362,Triple negative breast cancer,unknown
hsa_circ_0015350,Breast cancer,unknown
hsa_circ_0111277,Preeclampsia,unknown
hsa_circ_0010220,Osteosarcoma,unknown
hsa_circ_0015449,Basal cell carcinoma,unknown
hsa_circ_0005909,Osteosarcoma,miR-936
hsa_circRNA3683,Herpes Simplex Virus1 Infection,unknown
hsa_circRNA8505,Esophageal cancer,unknown
hsa_circRNA8506,Esophageal cancer,unknown
hsa_circRNA8507,Esophageal cancer,unknown
hsa_circ_0015703,Breast cancer,unknown
hsa_circ_0015729,Proliferative vitreoretinopathy,unknown
hsa_circ_0015729,Uterine leiomyoma,unknown
hsa_circ_0010235,Non-small cell lung cancer,unknown
hsa_circ_0010283,Atherosclerosis,unknown
has_circ_0015758,Glioblastoma,unknown
hsa_circ_0015756,Hepatocellular carcinoma,unknown
hsa_circ_0015756,Ovarian cancer,unknown
hsa_circ_0015879,Tuberculosis,unknown
hsa_circ_0000172,Bladder cancer,unknown
hsa_circ_0015962,Dengue fever,unknown
hsa_circ_0016068,Prostate cancer,unknown
hsa_circ_0016070,Pulmonary arterial hypertension,unknown
hsa_circ_0004777,Basal cell carcinoma,unknown
hsa_circ_0004777,Lung cancer,unknown
hsa_circ_0003344,Steroid-induced osteonecrosis of the femoral head,unknown
hsa_circ_0000175,Systemic lupus erythematosus,unknown
hsa_circ_0141539,Cervical cancer,unknown
hsa_circ_0000177,Glioblastoma,unknown
hsa_circ_0016347,Osteosarcoma,unknown
hsa_circ_0016403,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0000181,Gastric cancer,unknown
hsa_circ_0016418,Skin melanoma,unknown
hsa_circRNA_100084,Hepatocellular carcinoma,unknown
hsa_circ_0005075,Cervical cancer,unknown
hsa_circ_0005075,Colorectal cancer,unknown
hsa_circ_0000026,Gastric cancer,unknown
hsa_circ_0005075,Hepatocellular carcinoma,unknown
hsa_circ_0005075,Gastric cancer,unknown
hsa_circ_0002402,Osteosarcoma,unknown
hsa_circ_0004417,Lung cancer,unknown
hsa_circ_0112085,Heart failure,unknown
hsa_circ_0010567,Breast cancer,unknown
hsa_circ_0010575,Colon cancer,unknown
hsa_circ_0010729,Hypoxia-induced cardiomyocyte injuries,unknown
hsa_circ_0005576,Cervical cancer,unknown
hsa_circ_0000190,Gastric cancer,unknown
hsa_circ_0000190,Multiple myeloma,miR-767-5p
hsa_circ_0000190,Osteosarcoma,unknown
hsa_circ_0002577,Endometrial cancer,unknown
hsa_circ_0002137,Osteosarcoma,unknown
hsa_circ_0016624,Osteoporosis,unknown
hsa_circ_0016628,Uterine leiomyoma,unknown
hsa_circ_0016723,Breast cancer,unknown
hsa_circ_0016760,Non-small cell lung cancer,miR-577
hsa_circ_0016788,Hepatocellular carcinoma,unknown
hsa_circ_0008717,Breast cancer,miR-1271
hsa_circ_0008717,Hepatocellular carcinoma,unknown
hsa_circ_0008717,Non-small cell lung cancer,unknown
hsa_circ_0008717,Rectal cancer,unknown
hsa_circ_0008717,Osteosarcoma,unknown
hsa_circ_0008717,Clear cell renal cell carcinoma,unknown
hsa_circ_0008717,Epithelial ovarian cancer,unknown
hsa_circ_0008717,Glioblastoma,unknown
hsa_circ_0008717,Thyroid cancer,unknown
hsa_circ_0016901,Breast cancer,unknown
hsa_circRNA_406752,Clear cell renal cell carcinoma,unknown
hsa_circ_0009061,Prostate cancer,unknown
hsa_circ_0017068,Preeclampsia,unknown
hsa_circ_0002343,Cervical cancer,unknown
hsa_circ_0000030,Ovarian cancer,unknown
hsa_circ_0010882,Gastric cancer,unknown
hsa_circ_0005100,Colorectal cancer,unknown
hsa_circ_0005100,Prostate cancer,unknown
hsa_circ_0000199,Gastric cancer,unknown
hsa_circ_0000199,Glioblastoma,unknown
hsa_circ_0017247,Bladder cancer,unknown
hsa_circ_0017247,Melanoma,unknown
hsa_circ_0017248,Ovarian endometriosis,unknown
hsa_circ_0017250,Glioblastoma,unknown
hsa_circ_0017252,Clear cell renal cell carcinoma,unknown
hsa_circ_0017252,Hepatocellular carcinoma,unknown
circ_EFCAB2,Temporal Lobe Epilepsy,unknown
hsa_circ_0017311,Osteosarcoma,unknown
circ_ARID1A,Autism spectrum disorder,unknown
hsa_circ_0000034,Retinoblastoma,miR-361-3p
hsa_circ_0008494,Colorectal cancer,unknown
hsa_circ_0006913,Pancreatic cancer,unknown
hsa_circ_0011021,Cervical cancer,unknown
hsa_circ_0011058,Papillary thyroid carcinoma,unknown
hsa_circ_0011107,Gastric cancer,unknown
hsa_circ_0005406,Osteoarthritis,unknown
hsa_circ_0000038,Chronic hepatitis B,unknown
hsa_circ_0000039,Gastric cancer,unknown
hsa_circ_0000042,Non-small cell lung cancer,unknown
hsa_circ_0000043,Endometrial carcinoma,unknown
hsa_circ_0000043,Ovarian cancer,unknown
hsa_circ_0000043,Breast cancer,unknown
hsa_circ_0011269,Osteoporosis,unknown
hsa_circ_0011292,Non-small cell lung cancer,unknown
hsa_circ_0007364,Cervical cancer,unknown
hsa_circ_0007777,Hashimoto's thyroiditis,unknown
circRNA7231,Herpes Simplex Virus1 Infection,unknown
hsa_circ_0003880,Breast cancer,unknown
hsa_circ_0011385,Non-small cell lung cancer,unknown
hsa_circ_0011385,Thyroid cancer,miR-361-3p
hsa_circ_0011385,Bladder cancer,unknown
hsa_circ_0011460,Preeclampsia,unknown
hsa_circ_0011780,Non-small cell lung cancer,unknown
hsa_circ_0011785,Inflammatory response,unknown
hsa_circ_0008844,Cervical cancer,unknown
hsa_circ_0000061,Proliferative diabetic retinopathy,unknown
hsa_circ_0011946,Breast cancer,"miR-26a, miR-26b"
hsa_circ_0011946,Oral squamous cell carcinoma,unknown
hsa_circ_0006848,Gastric cancer,unknown
hsa_circ_0012077,Demyelinating disease,unknown
hsa_circ_0000064,Lung cancer,unknown
hsa_circ_0000064,Hepatocellular carcinoma,unknown
hsa_circ_0012129,Glioblastoma,unknown
hsa_circ_0012152,Hashimoto's thyroiditis,unknown
hsa_circ_0092340,Osteosarcoma,unknown
hsa_circ_0012342,Mucoepidermoid carcinoma,unknown
hsa_circ_0012346,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0000069,Steroid-induced osteonecrosis of the femoral head,unknown
hsa_circ_0000069,Colorectal cancer,unknown
hsa_circ_0000069,Pancreatic cancer,unknown
hsa_circ_0002632,Oral squamous cell carcinoma,unknown
hsa_circ_0012380,Breast cancer,unknown
hsa_circ_0012384,Non-small cell lung cancer,unknown
hsa_circ_0008202,Oral squamous cell carcinoma,unknown
hsa_circ_0004619,Breast cancer,"hsa-miR-135b-3p, hsa-miR-298, hsa-miR-485-3p, hsa-miR-182-5p, hsa-miR-593-5p"
hsa_circ_0005567,Osteoarthritis,"miR378a, miR20a"
hsa_circ_0012563,Esophageal cancer,unknown
hsa_circRNA_100236,Systemic lupus erythematosus,unknown
hsa_circ_0113656,Human aortic smooth muscle cell,unknown
hsa_circ_0012673,Lung cancer,unknown
hsa_circ_0113689,Osteogenesis,unknown
chr1:58971728–59004978,Acute ischemic stroke,unknown
hsa_circ_0002316,Systemic lupus erythematosus,unknown
hsa_circ_0012721,Coronary heart disease,unknown
hsa_circ_0000073,Breast cancer,unknown
hsa_circ_0000073,Osteosarcoma,unknown
hsa_circ_0012737,Preeclampsia,unknown
hsa_circ_0000074,Pulmonary tuberculosis,unknown
hsa_circ_0000075,Hashimoto's thyroiditis,unknown
hsa_circ_0006633,Gastric cancer,unknown
hsa_circ_0000079,Non-small cell lung cancer,unknown
hsa_circ_0000080,Glioblastoma,unknown
hsa_circ_0113854,Coronary artery disease,unknown
hsa_circ_0008433,Lupus nephritis,unknown
hsa_circ_0008433,Endometriosis,unknown
hsa_circ_0008433,Intracranial aneurysm,"hsa-miR-181c-5p, hsa-miR-181b-5p"
hsa_circ_008389,Premature ovarian insufficiency,unknown
hsa_circ_0092374,Systemic lupus erythematosus,"miR-29a, VEGFA"
hsa_circ_0012919,Systemic lupus erythematosus,unknown
hsa_circ_0008737,Atrial fibrillation,unknown
hsa_circ_0002203,Oral squamous cell carcinoma,unknown
hsa_circ_0009543,Melanoma,unknown
hsa_circ_0002570,Proliferative diabetic retinopathy,unknown
hsa_circ_0009547,Melanoma,unknown
hsa_circ_0009558,Pterygium,unknown
hsa_circRNA_100269,Gastric cancer,unknown
hsa_circ_0004390,Ovarian cancer,unknown
hsa_circ_0009581,Multiple myeloma,unknown
hsa_circ_0013084,Hypopharyngeal carcinoma,unknown
hsa_circ_0000013,Lung cancer,unknown
hsa_circ_0009634,Breast cancer,unknown
hsa_circ_0000092,Hepatocellular carcinoma,unknown
hsa_circ_0006427,Lung cancer,unknown
hsa_circ_0006427,Primary great saphenous vein varicosities,unknown
hsa_circRNA_100284,Carcinogenesis,unknown
hsa_circRNA_100284,Liver cancer,unknown
hsa_circ_0000094,T cell acute lymphoblastic leukemia,unknown
chr1:95609447–95616975,Acute ischemic stroke,unknown
hsa_circ_0013255,Radiation-induced liver fibrosis,unknown
hsa_circ_0006323,Coronary artery disease,unknown
hsa_circ_000780,Tongue squamous cell carcinoma,unknown
hsa_circRNA_004183,Hepatic steatosis,unknown
hsa_circ_0019421,Glioblastoma,unknown
hsa_circ_0019456,Hepatocellular carcinoma,unknown
SCD-circRNA 2,Hepatocellular carcinoma,unknown
hsa_circ_0008362,Glioblastoma,unknown
hsa_circ_0002888,Preeclampsia,unknown
hsa_circ_0000257,Pancreatic cancer,unknown
hsa_circ_0000257,Prostate cancer,unknown
hsa_circ_0019692,Renal cell carcinoma,unknown
hsa_circ_0092509,Osteosarcoma,"miR-409-3p, miR-153-3p, miR-145-5p, miR-9-5p, miR-152-3p"
hsa_circ_0092516,Osteoarthritis,unknown
hsa_circ_0005620,Major depressive disorder,unknown
hsa_circ_0020007,Hepatocellular carcinoma,unknown
hsa_circ_0020014,Osteoarthritis,unknown
hsa_circ_0000260,Gastric cancer,unknown
hsa_circ_0004277,Colorectal cancer,unknown
hsa_circ_0004277,Acute myeloid leukemia,unknown
hsa_circ_0017446,Acute myeloid leukemia,unknown
circATRNL1,Oral squamous cell carcinoma,miR-23a-3p
hsa_circ_0020068,Uterine leiomyoma,unknown
hsa_circ_0020093,Ovarian cancer,unknown
hsa_circ_005239,Non-small cell lung cancer,unknown
hsa_circ_005239,Triple negative breast cancer,unknown
hsa_circ_0020101,Proliferative vitreoretinopathy,unknown
hsa_circ_0020123,Non-small cell lung cancer,"miR-5001-3p, miR-718, miR-4793-3p, miR-4524a-5p, miR-513a-5p"
hsa_circ_0092857,Lung cancer,unknown
hsa_circ_0004350,Lung cancer,unknown
hsa_circ_0017728,Osteosarcoma,unknown
hsa_circ_0017736,Osteoporosis,unknown
hsa_circ_0000215,Glioblastoma,unknown
hsa_circ_0000263,Cervical cancer,miR-150-5p
hsa_circ_0000264,Lung cancer,unknown
hsa_circ_0008898,Oral squamous cell carcinoma,unknown
hsa_circ_0003570,Ovarian endometriosis,unknown
hsa_circ_0000267,Gastric cancer,unknown
hsa_circ_0000267,Hepatocellular carcinoma,unknown
hsa_circ_0003570,Infantile hemangioma,unknown
hsa_circRNA_100709,Ventricular septal defect,unknown
hsa_circ_0000268,Gastric cancer,unknown
circZRANB1,Glaucoma,miR-512-5p
hsa_circ_0002133,Hepatocellular carcinoma,unknown
hsa_circ_0020376,Uterine leiomyoma,unknown
hsa_circ_0007142,Colorectal cancer,miR-103a-2-5p
hsa_circ_0007142,Intracranial aneurysm,"hsa-miR-128-3p, hsa-miR-216a-3p, hsa-miR-576-3p, hsa-miR-376a-3p, hsa-miR-376b-3p"
hsa_circ_0020394,Bladder cancer,unknown
hsa_circ_100721,Colorectal cancer,unknown
hsa_circ_0020397,Intracranial aneurysm,unknown
hsa_circ_100721,Oral squamous cell carcinoma,unknown
hsa_circ_100721,Thyroid cancer,unknown
hsa_circ_002082/hsa_circ_0000271,Hepatic steatosis,unknown
hsa_circ_0004183,Hepatic steatosis,unknown
hsa_circ_0000218,Laryngeal cancer,unknown
hsa_circ_0000218,Colorectal cancer,miR-139-3p
hsa_circ_0017841,Breast cancer,unknown
hsa_circ_001349,Lupus Nephritis,unknown
hsa_circ_001242,Oral squamous cell carcinoma,unknown
hsa_circ_0000221,Hepatocellular carcinoma,unknown
circMLLT10,Gastric cancer,unknown
hsa_circ_0017949,Breast cancer,unknown
hsa_circ_0008225,Glioblastoma,unknown
hsa_circ_0093390,Clear cell renal cell carcinoma,unknown
hsa_circ_0018004,Stomach adenocarcinoma,unknown
hsa_circ_0007503,Triple negative breast cancer,unknown
hsa_circ_0018064,Renal cell carcinoma,unknown
hsa_circ_0018069,Breast cancer,unknown
hsa_circ_0018069,Bladder cancer,"miR-23c, miR-34a-5p, miR-181b-5p, miR-454-3p, , miR-3666"
hsa_circ_0003519,Active pulmonary tuberculosis,unknown
hsa_circ_0000231,Age-related cataract,unknown
hsa_circ_0000231,Atherosclerosis,unknown
hsa_circ_0000231,Colorectal cancer,unknown
hsa_circ_0000231,Tongue squamous cell carcinoma,unknown
chr10:32588594-32589641,Osteosarcoma,unknown
hsa_circ_0018168,Acne,unknown
hsa_circ_0000234,Gastric cancer,unknown
hsa_circ_0017515,Hepatoblastoma,unknown
hsa_circ_0000237,Colorectal cancer,unknown
hsa_circ_0093677,Steroid-induced osteonecrosis of the femoral head,unknown
hsa_circ_0018289,Cervical cancer,unknown
hsa_circ_0018289,Cervical cancer,unknown
hsa_circ_0018293,Breast cancer,unknown
hsa_circ_0017526,Breast cancer,unknown
hsa_circ_0002968,Glioblastoma,unknown
hsa_circ_0017536,Breast cancer,unknown
hsa_circ_0017545,Parathyroid carcinoma,unknown
hsa_circ_0017545,Breast cancer,unknown
hsa_circ_0018401,Periventricular white matter damage,unknown
circPRKG1,Prostate cancer,unknown
hsa_circ_0005379,Oral squamous cell carcinoma,unknown
hsa_circ_0018429,Pneumonia,unknown
hsa_circ_0005774,Acute myeloid leukemia,unknown
hsa_circ_0093859,Breast cancer,unknown
hsa_circ_0093887,Atherosclerosis,unknown
hsa_circ_0000239,Hypopharyngeal carcinoma,unknown
hsa_circ_0018508,Type2 diabetes mellitus,"miR-556-5p, hsa-miR-521, hsa-miR-1204, hsa-miR-146b-3p, hsa-miR-512-5p, hsa-miR-663b, hsa-miR-1258, hsa-miR-1233, hsa-miR-1296"
hsa_circ_0009172,Gastric cancer,unknown
hsa_circ_0018534,Non-small cell lung cancer,unknown
hsa_circ_0093996,Retinoblastoma,unknown
hsa_circ_0018665,Hepatocellular carcinoma,unknown
hsa_circ_0017639,Glioblastoma,unknown
hsa_circ_0017639,Gastric cancer,"miR-182-5p, miR-224-5p"
hsa_circ_0000211,Lung cancer,unknown
hsa_circ_0000212,Colorectal cancer,unknown
hsa_circ_0017648,Oral mucosal melanoma,unknown
hsa_circ_0000247,Breast cancer,unknown
hsa_circ_0018764,Hepatocellular carcinoma,unknown
hsa_circ_0006276,Lung cancer,unknown
hsa_circ_0018900,Oral mucosal melanoma,unknown
hsa_circ_0017650,Breast cancer,unknown
hsa_circ_0094190,Pancreatic cancer,unknown
hsa_circRNA_100641,Gastric cancer,unknown
hsa_circ_0094342,Non-small cell lung cancer,unknown
hsa_circ_0019069,Diabetes retinopathy,unknown
hsa_circ_0095812,Glioblastoma,unknown
hsa_circ_0007707,Gastric cancer,unknown
hsa_circ_0000254,Acute myeloid leukemia,unknown
hsa_circ_0019340,Epithelial ovarian cancer,unknown
hsa_circRNA_000367,Hepatic steatosis,unknown
hsa_circRNA_002082,Hepatic steatosis,unknown
hsa_circ_0024093,Acute kidney injury,unknown
hsa_circ_0024097,Osteoporosis,unknown
hsa_circ_0002320,Gastric cancer,unknown
hsa_circ_0024108,Glioblastoma,unknown
hsa_circ_0024108,Esophageal cancer,unknown
hsa_circ_0024108,Hypopharyngeal carcinoma,"miR-185-3p, miR-296-3p, miR-4420, miR-4646-3p, miR-4743-3p, miR-4755-5p, miR-623, miR-670-5p, miR-6804-5p, miR-7108-5p"
hsa_circ_0094742,Osteoarthritis,unknown
hsa_circ_0008602,Prostate cancer,"miR200c, miR-200b"
hsa_circ_0024169,Angiosarcoma,unknown
hsa_circ_0024169,Colorectal cancer,unknown
hsa_circ_0007694,Papillary thyroid carcinoma,unknown
hsa_circ_0021254,Diabetic nephropathy,unknown
hsa_circ_0021254,Cervical cancer,unknown
hsa_circ_0005127,Facet joint osteoarthritis,unknown
hsa_circ_0002089,Gastric cancer,unknown
hsa_circ_0003391,Alzheimer's disease,miR-574-5p
hsa_circ_0003391,Postmenopausal Osteoporosis,"miR-28-5p, miR-326, miR-330-5p, miR-361-5p, miR-421, miR-422a, miR-490-3p, miR-491-5p"
hsa_circ_0004798,Gastric cancer,unknown
hsa_circ_000367,Hepatic steatosis,unknown
hsa_circ_0000367,Rheumatoid arthritis,unknown
hsa_circ_0002019,Esophageal cancer,"FOXO3, p53, miR-139-3p, miR-376a*, miR-1200"
hsa_circ_0000370,Acute myeloid leukemia,unknown
hsa_circ_0000370,Colorectal cancer,unknown
hsa_circ_0000371,Proliferative diabetic retinopathy,unknown
hsa_circ_0005027,Hypopharyngeal carcinoma,hsa‑miR‑548c‑3p
hsa_circ_0007843,Colon cancer,unknown
hsa_circ_0000372,Colorectal cancer,unknown
hsa_circ_0002484,Gastric cancer,unknown
hsa_circ_0024892,Multiple sclerosis,unknown
hsa_circ_0020594,Multiple myeloma,unknown
hsa_circ_0021347,Osteosarcoma,unknown
hsa_circ_0021372,Systemic lupus erythematosus,unknown
circRNA904,Esophageal cancer,unknown
hsa_circ_0020786,Uterine leiomyoma,unknown
hsa_circ_0020792,Keloid,unknown
hsa_circ_0000282,Osteosarcoma,unknown
hsa_circ_0021549,Systemic lupus erythematosus,unknown
hsa_circ_0021553,Papillary thyroid carcinoma,"hsa-miR-122-5p, hsa-miR-574-5p, hsa-miR-493-5p, hsa-miR-380-5p, hsa-miR-92a-2-5p"
hsa_circ_0021553,Breast cancer,unknown
circRNA9671,Esophageal cancer,unknown
hsa_circ_0003119,Breast cancer,unknown
11_33286412_33287511,Hypertrophic scar,unknown
hsa_circ_0000284/circHIPK3,Cholangiocarcinoma,unknown
circ_IFFO2,Cutaneous squamous cell carcinoma,unknown
hsa_circ_0008887,Immunosenescence,unknown
hsa_circ_0000284/circHIPK3,Acute pancreatitis,unknown
hsa_circ_0000284/circHIPK3,Age-related cataract,miR-221-3p
hsa_circ_0000284/circHIPK3,Asthma,unknown
hsa_circ_0000284/circHIPK3,Bladder cancer,"miR-379, IGF1"
hsa_circ_0000284/circHIPK3,Breast cancer,unknown
hsa_circ_0000284/circHIPK3,Cardiac hypertrophy,unknown
hsa_circ_0000284/circHIPK3,Carotid disease and ischemic stroke,"miR-181a-2*, miR-521, miR-556-5p, miR-512-5p, miR-663b, miR-1204"
hsa_circ_0000284/circHIPK3,Cervical cancer,unknown
hsa_circ_0000284/circHIPK3,Clear cell renal cell carcinoma,unknown
hsa_circ_0000284/circHIPK3,Colorectal cancer,unknown
hsa_circ_0000284/circHIPK3,Coronary heart disease,unknown
hsa_circ_0000284/circHIPK3,Diabetic nephropathy,unknown
hsa_circ_0000284/circHIPK3,Gallbladder cancer,unknown
hsa_circ_0000284/circHIPK3,Gastric cancer,unknown
hsa_circ_0000284/circHIPK3,Glioblastoma,unknown
hsa_circ_0000284/circHIPK3,Hepatocellular carcinoma,unknown
hsa_circ_0000284/circHIPK3,Hyperglycemia,unknown
hsa_circ_0000284/circHIPK3,Immunosenescence,unknown
hsa_circ_0000284/circHIPK3,Insulin resistance,unknown
hsa_circ_0000284/circHIPK3,Kidney cancer,miR-124
hsa_circ_0000284/circHIPK3,Oral squamous cell carcinoma,unknown
hsa_circ_0000284/circHIPK3,Osteosarcoma,unknown
hsa_circ_0000284/circHIPK3,Ovarian cancer,"miR-10a-5p, miR-224-3p, miR-876-5p, miR-148b-3p, miR-30d-3p, miR-193a-3p, miR-579-3p, miR-499a-5p, miR-106a-3p, miR-1278, miR-30b-3p, miR-522-3p"
hsa_circ_0000284/circHIPK3,Preeclampsia,unknown
hsa_circ_0000284/circHIPK3,Prostate cancer,unknown
hsa_circ_0000284/circHIPK3,Type 2 diabetes mellitus,unknown
hsa_circ_0000284/circHIPK3,Non-small cell lung cancer,unknown
hsa_circ_0000284/circHIPK3,Osteoarthritis,unknown
hsa_circ_0000284/circHIPK3,Renal cell carcinoma,unknown
hsa_circ_0000284/circHIPK3,Spinal cord injury,unknown
hsa_circ_0000284/circHIPK3,Ovarian endometriosis,unknown
hsa_circ_0000284/circHIPK3,Oxidative injury,unknown
hsa_circ_0000285,Cervical cancer,unknown
hsa_circ_0000285,Osteosarcoma,unknown
hsa_circ_0000284/circHIPK3,Nasopharyngeal carcinoma,unknown
hsa_circ_0000285,Bladder cancer,unknown
hsa_circ_0000285,Laryngocarcinoma,unknown
hsa_circ_0000285,Thyroid cancer,unknown
hsa_circ_0000285,Cervical cancer,unknown
hsa_circ_0003573,Atherosclerosis,unknown
hsa_circ_0003768,Prostate cancer,unknown
hsa_circ_000792,Gastric cancer,unknown
hsa_circ_0000291,Breast cancer,unknown
hsa_circ_0003707,Gastric cancer,unknown
hsa_circ_0006988,Non-small cell lung cancer,unknown
hsa_circ_0006988,Pancreatic cancer,unknown
hsa_circ_0000274,Renal cell carcinoma,unknown
hsa_circ_0021789,Glioblastoma,unknown
hsa_circ_0021977,Colorectal cancer,unknown
hsa_circ_0022080,Colorectal cancer,"miR-765, miR-30b-3p, miR-876-3p, miR-26b-3p, miR-196b-5p"
