circRNA,disease
circVEGFC,Diabetes mellitus
hsa_circ_102488,Stroke
hsa_circ_0059655,Salivary adenoid cystic carcinoma
hsa_circ_0001724,Colorectal cancer
hsa_circ_000334,Oral squamous cell carcinoma
hsa_circ_0000896,Non-small cell lung cancer
hsa_circ_0000190,Gastric cancer
hsa_circ_0006733,Oral mucosal melanoma
hsa_circ_0005397,Hepatocellular carcinoma
circCRAMP1L ,Preeclampsia
hsa_circ_0005774,Acute myeloid leukemia
hsa_circ_0086375,Pancreatic cancer
circDPF3,Prostate cancer
circ-ASPH,Glioma
circ-ABCB10,breast cancer
hsa_circ_101873,rheumatoid arthritis
CDR1as/ciRS-7/hsa_circ_0001946,Osteosarcoma
hsa_circ_0007534,Breast cancer
hsa_circ_0067209,Moyamoya disease
hsa_circ_0000740,Clear cell renal cell carcinoma
hsa_circ_0003768,Prostate cancer
hsa_circ_0091822,Cervical cancer
hsa_circ_0073181,Hepatocellular carcinoma
circ_0089153,Ameloblastoma
circCHD7,cardiovascular disease
circ_0002483,Non-small cell lung cancer
circPRKCI,Lipopolysaccharide
hsa_circ_0006916,Lung cancer
hsa_circ_0006174,Colorectal cancer
hsa_circ_0001649,Retinoblastoma
hsa_circ_0001727,Hepatocellular carcinoma
circ-ITCH,Papillary thyroid carcinoma
cirRNA_0074027,Colorectal cancer
hsa_circ_0139996,Gastric cancer
hsa_circ_001059,esophageal cancer
hsa_circ_0085616,Cervical cancer
hsa_circ_100219,Breast cancer
circSETD3,Lung cancer
hsa_circRNA_102049,Thyroid cancer
hsa_circRNA_103366,Alzheimer's disease
hsa_circ_0028173,Osteosarcoma
hsa_circRNA_102534,Moyamoya disease
hsa_circ_0006156,Bladder cancer
hsa_circ_0036722,Hypopharyngeal carcinoma
hsa_circ_0001859,Rheumatoid arthritis
hsa_circ_0000284,Glioblastoma
hsa_circ_0033349,Nonfunctioning pituitary adenomas
hsa_circ_0024169,Colorectal cancer
hsa_circ_0004587,Inflammation
circPVT1,Osteosarcoma
hsa_circ_0063772,Oral squamous cell carcinoma
hsa_circRNA_036186,Head and neck squamous cell carcinoma
circRNA_0084043,Melanoma
hsa_circ_0129656,Primary Sjogren's Syndrome
hsa_circ_0082333,Colorectal cancer
hsa_circ_0012152,Hashimoto's thyroiditis
hsa_circ_0084720,Gastric cancer
hsa_circ_0000284,Renal carcinoma
hsa_circ_0002737,Steroid-induced osteonecrosis of the femoral head
hsa_circ_0034762,Ovarian endometriosis
circRNA-000911,Breast cancer
hsa_circ_0002111,Papillary thyroid carcinoma
hsa_circ_0001806,Ovarian cancer
hsa_circ_0005529,Gastric cancer
hsa_circ_0015756,Hepatoblastoma
circAP2A2,Infantile hemangioma
cAFF1,hypoxia
circRNA_100782,Pancreatic ductal adenocarcinoma
hsa_circ_0000005,Glioma
hsa_circ_0025039,Non-small cell lung cancer
hsa_circ_000598,hepatocellular carcinoma
hsa_circ_0008934,Osteosarcoma
hsa_circ_0000337,Esophageal cancer
hsa_circ_0079593,Glioblastoma
hsa_circ_0001370/hsa_circ_001830,Basal cell carcinoma
hsa_circ_0038646,Colorectal cancer
hsa_circ_0002179,Breast cancer
hsa_circ_0000274,Renal cell carcinoma
hsa_circ_0024108,hypopharyngeal squamous cell carcinoma
Circ_0025033,Ovarian cancer
hsa_circ_0109952,Glioma
hsa_circ_0087198,Pterygium
hsa_circ_0067934,Laryngeal cancer
hsa_circ_0089552,Non-small cell lung cancer
hsa_circ_0000284/circHIPK3,Hepatocellular carcinoma
hsa_circ_0004507,Laryngeal cancer
hsa_circ_0006719,Scoliosis
circ_0072088,Non-small cell lung cancer
circRNA-ACAP2,Colon cancer
CDR1as,Lung cancer
CircSPI1,Acute myeloid leukemia
circKRT6A,Prostate cancer
hsa_circ_0000231,Age-related cataract
hsa_circ_0000615,Duchenne muscular dystrophy
hsa_circRNA_103704,Schizophrenia
circ_0006948,Esophageal cancer
hsa_circRNA_102115,Nasopharyngeal carcinoma
circRNA7,Esophageal cancer
hsa_circ_0002503,Ovarian endometriosis
hsa_circ_0035560/hsa_circ_0005402/hsa_circRNA_101539/hsa_circRNA_101541,Multiple sclerosis
circRNA_0000392,Colorectal cancer
hsa_circ_0008737,Atrial fibrillation
hsa_circ_0002532,Acute pancreatitis
hsa_circRNA_4675,Preeclampsia
hsa_circ_0000211,Lung adenocarcinoma
hsa_circ_0000264,Lung cancer
hsa_circ_0040994,Sepsis
hsa_circ_0015729,Uterine leiomyoma
hsa_circ_001569,Gastric cancer
circHIPK3,Lung cancer
Circ_0004872,Atherosclerosis
circ-Foxo3,Non-small cell lung cancer
hsa_circ_0001947/hsa_circ_000510,Gastric cancer
hsa_circ_0088088,Breast cancer
hsa_circ_0007142,Colorectal cancer
hsa_circ_0079278,Parathyroid carcinoma
circ_DROSHA,Temporal lobe epilepsy
hsa_circ_0026134,Hepatocellular carcinoma
hsa_circ_0001821,Colorectal cancer
CircFOXP1,Osteoporosis
circRNA.5333,Gestational diabetes mellitus
hsa_circ_0072309,Breast cancer
hsa_circ_0075686,Glioma
hsa_circRNA_004183,Repeated implantation failure
circRNA9227,Esophageal cancer
hsa_circ_0092341/hsa_circ_0040039,Gastric cancer
hsa_circ_0005075,Cervical cancer
hsa_circ_0000175,Systemic lupus erythematosus
hsa_circ_071312,Glioblastoma
Circ-03955,Osteosarcoma
hsa_circ_0057336,Hepatoblastoma
hsa_circ_0000495,Head and neck squamous cell carcinoma
circ_0034642,Glioma
hsa_circ_0040805,Colon cancer
hsa_circ_0124644,Coronary artery disease
hsa_circ_0008305,intervertebral disc degeneration
CircHECTD1,Hepatocellular carcinoma
circ_0000629,Bladder cancer
hsa_circ_0000662,Pancreatic cancer
hsa_circ_0015756,Hepatocellular carcinoma
hsa_circ_0072410,Diabetes retinopathy
hsa_circ_0014717,Hepatocellular carcinoma
hsa_circ_0008521,Proliferative diabetic retinopathy
hsa_circ_0006662,Pancreatic cancer
hsa_circ_0001085,Prostate cancer
hsa_circ_0133159,Glioma
hsa_circ_0063809,Ovarian cancer
hsa_circ_0004277,acute myeloid leukemia
circMAN2B2,Glioma
hsa_circ_003251,diabetes mellitus
CDR1as,Alzheimers disease
hsa_circ_0013255,liver cancer
hsa_circ_0087537,Facet joint osteoarthritis
hsa_circ_007255,triple negative breast cancer
circ_0020394,Bladder carcinoma
hsa_circ_0000516,Papillary thyroid carcinoma
hsa_circ_0007788,Postmenopausal Osteoporosis
hsa_circ_000121,Papillary thyroid microcarcinoma
hsa_circ_0109177,Breast cancer
hsa_circ_0025508,Hepatocellular carcinoma
hsa_circ_0000615,Colorectal cancer
hsa_circ_103454,papillary thyroid carcinoma
hsa_circ_002082/hsa_circ_0000271,Hepatic steatosis
hsa_circ_0083429,Osteoarthritis
hsa_circ_0064996,Basal cell carcinoma
hsa_circ_0023903,Moyamoya disease
circ_0001971,Oral squamous cell carcinoma
hsa_circ_102347,Primary hepatic carcinoma
hsa_circ_009024/hsa_circ_0009128,Active pulmonary tuberculosis
hsa_circ_0001821,Osteosarcoma
hsa_circ_0000657,Gastric cancer
hsa_circ_100284,Bladder cancer
hsa_circ_0004339,Gastric cancer
hsa_circRNA_002178,Breast cancer
hsa_circRNA_404457,Diabetic retinopathy
circKCNN2,Prostate cancer
circHIPK3,Osteoarthritis
Circular RNA 0001313,Non-small cell lung cancer
cTtns,Dilated cardiomyopathy
hsa_circ_102051,Pancreatic cancer
hsa_circ_0007290,Acute ischemic stroke
hsa_circ_0079662,Colorectal cancer
hsa_circ_100984,Bladder cancer
hsa_circ_0075825,basal cell carcinoma
circ-SMARCA5,prostate cancer
hsa-circRNA11806-28,Type2 diabetes mellitus
hsa_circ_0063561,Gastric cancer
circLMO7,Gastric cancer
circPostn,Myocardial injury
hsa_circRNA_001066,Gastric cancer
hsa_circ_0004662,Ulcerative colitis
hsa_circ_101368,liver cancer
circPVT1,Clear cell renal cell carcinoma
hsa_circ_00026,Oral squamous cell carcinoma
hsa_circ_0005402/hsa_circ_0000518/hsa_circ_000167,Multiple sclerosis
Hsa_circ_0086996,Osteosarcoma
hsa_circ_0000284,Age-related cataract
hsa_circ_0008043,Hepatocellular carcinoma
hsa_circ_0003880,Breast cancer
hsa_circ_0000144,Thyroid cancer
hsa_circ_0086376,Colorectal cancer
hsa_circ_0001730,Glioblastoma
hsa_circ_0008274,Hepatocellular carcinoma
hsa_circ_0000002,Breast cancer
circ_0007534,Colorectal cancer
hsa_circ_0038648,Essential hypertension
hsa_circ_0024892,Multiple sclerosis
hsa_circRNA_100876,Esophageal cancer
hsa_circ_0018064,Renal cell carcinoma
hsa_circ_0103809,Bladder cancer
hsa_circ_0137008,Colorectal cancer
hsa_circ_0068515,Lung cancer
hsa_circ_0001445,Intrahepatic cholangiocarcinoma
circ-FBXW7,glioma
hsa_circ_0001627,Papillary thyroid carcinoma
hsa_circ_0008558,Oral mucosal melanoma
11_33286412_33287511,Hypertrophic scar
circKIF4A,Triple negative breast cancer
hsa_circ_0005267,Primary great saphenous vein varicosities
circHIPK3,Breast cancer
Circ_0001247,Cervical cancer
hsa_circ_0001200,Rheumatoid arthritis
hsa_circ_0072568,Osteoarthritis
hsa_circ_0081519,Glioma
CircCAMSAP1,Hepatocellular carcinoma
circ-HIPK3,Glioma
circ_0072088,Bladder cancer
CircEPSTI1,Non-small cell lung cancer
hsa_circ_0008259,Keloid
hsa_circ_0000284/circHIPK3,Immunosenescence
hsa_circ_081881,Myocardial infarction
Circ_0010729,Hypoxia-induced cardiomyocyte injuries 
hsa_circ_104168,Hepatocellular carcinoma
hsa_circ_0002768,Renal cell carcinoma
hsa_circRNA_091692,Tuberculosis
CircLRRK1,Preeclampsia
hsa_circ_0102537,Lung cancer
circMIR663A,Prostate cancer
hsa_circ_0000376,Breast cancer
circ_0006892,Chronic obstructive pulmonary disease
hsa_circ_0037923,Renal cell carcinoma
circ_UBR5,Non-small cell lung cancer
circRNA_0016418,Skin melanoma
hsa_circRNA_101113,Osteosarcoma
hsa_circRNA_101965,Cholesteatoma
hsa_circ_0047688,Glioblastoma
hsa_circ_0019069,Diabetes retinopathy
hsa_circ_0092315,Papillary thyroid carcinoma
hsa_circRNA_100876,Breast cancer
hsa_circ_0000284,Cervical cancer
hsa_circ_0054633,type 2 diabetes mellitus
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Cholangiocarcinoma
hsa_circ_0001467,Glioblastoma
hsa_circ_0042261,Esophageal cancer
hsa_circ_0068610,Bladder cancer
hsa_circ_0000326,Lung adenocarcinoma
circOMA1,Nonfunctioning pituitary adenomas
CDR1as/ciRS-7/hsa_circ_0001946,Nasopharyngeal carcinoma
hsa_circ_0062163,Hepatoblastoma
circ_0007142,Intracranial aneurysm
hsa_circ_0008514,Hepatocellular carcinoma
circ_0037655,Glioblastoma
circSCAR ,Nonalcoholic steatohepatitis
hsa_circ_0072765,liver cancer
hsa_circ_0008717,Hepatocellular carcinoma
hsa_circ_0002375,Nasopharyngeal carcinoma
hsa_circ_0000479,Triple negative breast cancer
circDENND4C,breast cancer
hsa_circ_0007203,Esophageal cancer
hsa_circ_0141940,Prostate cancer
hsa_circ_0067745,Hepatoblastoma
circRNA_103516,Inflammatory bowel disease
hsa_circ_0037658,Osteoarthritis
circBC048201,Bladder cancer
circ-CDC45,Glioma
hsa_circ_0001098,Breast cancer
hsa_circ_0002495,Bladder cancer
hsa_circ_0074026,Glioma
circ_PTN,Glioma
hsa_circ_0001801,Ovarian cancer
chr12:10539502–10546466,Acute ischemic stroke
circRACGAP1 ,Non-small cell lung cancer
hsa_circ_0000098,breast cancer
hsa_circ_0007299 ,Endometriosis
circ_0000285,Cervical cancer
hsa_circ_400066,gastric cancer
circ_0003645,Breast cancer
hsa_circ_100918,diabetes mellitus
hsa_circ_0067301,Ovarian endometriosis
hsa_circ_0006896,Atherosclerosis
hsa_circ_0000284,Acute pancreatitis
hsa_circ_0000284,Diabetes mellitus
hsa_circ_045179,Tongue squamous cell carcinoma
CDR1as/ciRS-7/hsa_circ_0001946,Pulmonary hypertension
circ_0084043,Malignant melanoma
hsa_circ_0047924,Uveal melanoma
circ-PTEN,Non-small cell lung cancer
hsa_circ_0088732,Glioblastoma
hsa_circ_0031242,Hepatocellular carcinoma
hsa_circ_0003573,Atherosclerosis
hsa_circ_0060063,Abdominal aortic aneurysm
hsa_circ_0002569,Moyamoya disease
hsa_circ_0001806,Colorectal cancer
circ5615,Colorectal cancer
hsa_circ_0007006,Colorectal cancer
ciRS-7,Cervical cancer
hsa_circ_0072088,Papillary thyroid carcinoma
hsa_circ_0001721,breast cancer
circ_0000735,Bladder cancer
hsa_circ_101981,Prostate cancer
hsa_circ_0127801,Colorectal cancer
circ_0005927,Gastric cancer
hsa_circ_0003090,Systemic lupus erythematosus
hsa_circ_0084171,Bladder cancer
hsa_circRNA_102034,Breast cancer
hsa_circRNA_405679,Triple negative breast cancer
hsa_circRNA_104916,Gastric cancer
circ-Foxo3,Esophageal squamous cell carcinoma
CircNFIX,Glioma
hsa_circRNA_102101,Schizophrenia
hsa_circ_0047905,Gastric cancer
hsa_circ_0082689,Systemic lupus erythematosus
hsa_circ_0003056,Primary hepatic carcinoma
hsa_circ_0000118,Gastric cancer
hsa_circ_000684,Gastric cancer
circRNA2713,Preeclampsia
hsa_circ_0014130,Gastric cancer
hsa_circ_0068515,Breast cancer
CircTM7SF3,Atherosclerosis
CircHIPK3,Clear cell renal cell carcinoma
circPARD3,Laryngeal squamous cell carcinoma
hsa_circ_0005785,Pancreatic cancer
hsa_circ_101000,Glioblastoma
circ_0030235,Pancreatic cancer
hsa_circ_0005243,Gestational diabetes mellitus
hsa_circ_0004771,Hepatocellular carcinoma
hsa_circ_0060108,gastric cancer
hsa_circRNA_000121,Papillary thyroid microcarcinoma
hsa_circ_0001821,Epithelial ovarian cancer
hsa_circ_0072995,Epithelial ovarian cancer
hsa_circ_0000677/hsa_circ_001569/circABCC,Colorectal cancer
circ_0000215 ,Glioma
hsa_circ_0007334,Pancreatic cancer
hsa_circ_0001062,Primary Sjogren's Syndrome
cZNF609,Lung cancer
hsa_circ_0037911,Essential hypertension
circ_0058063,Bladder cancer
Circ-MBOAT2,Pancreatic cancer
hsa_circ_104565,papillary thyroid carcinoma
hsa_circ_0005230,Cholangiocarcinoma
hsa_circ_0013255,Radiation-induced liver fibrosis
hsa_circ_0040809,Intracranial aneurysm
circ_0008450,Hepatocellular carcinoma
hsa_circ_0024097,Osteoporosis
hsa_circ_102051,Papillary thyroid microcarcinoma
hsa_circ_0006404,Esophageal cancer
circPARP4,Glioma
hsa_circRNA_024892,Multiple sclerosis
circ_EFCAB2,Temporal Lobe Epilepsy
hsa_circ_0103896,Pancreatic cancer
hsa_circ_0002062,chronic thromboembolic pulmonary hypertension
hsa_circ_0106714,Colorectal cancer
hsa_circ_0004619,Breast cancer
circ-IARS,Pancreatic ductal adenocarcinoma
hsa_circ_0000615,Renal carcinoma
circDOCK1,Thyroid cancer
circ-EIF4G3,Gastric cancer
hsa_circ_0028502,Hepatocellular carcinoma
hsa_circ_0005615,Cervical cancer
chr12:69044180–69048032,Acute ischemic stroke
hsa_circ_0128298,Hepatocellular carcinoma
circ_101341,Clear cell renal cell carcinoma
hsa_circ_0006804,Influenza A virus infection
Circ_100565,Lung cancer
circRNA_104433,Gastric cancer
hsa_circ_0001946,Hepatocellular carcinoma
circNR4A1,Breast cancer
hsa_circ_0014350,Myocarditis
hsa_circ_0007482,Keloid
hsa_circ_0007334,Colorectal cancer
hsa_circ_0068669,Hepatocellular carcinoma
circ_PRKCI,Hepatocellular carcinoma
hsa_circ_0003258,Hepatocellular carcinoma
cZNF292,Ischaemic heart disease
circ_0007841,Multiple myeloma
hsa_circ_0000722,Cervical cancer
hsa_circ_0072391,Hepatoblastoma
hsa_circRNA_102051,Papillary thyroid microcarcinoma
hsa_circRNA_7571,Atrial fibrillation
hsa_circ_0030979,Uterine leiomyoma
CDR1as,Coronary heart disease
circSEC24A,Cutaneous squamous cell carcinoma
circ-TTBK2,glioma
circPITX1,Glioma
circ_0091581,Hepatocellular carcinoma
circ-ASH2L,Pancreatic ductal adenocarcinoma
circ_ITCH,Bladder cancer
hsa_circ_0007850,Hepatic steatosis
hsa_circ_0001649,Colorectal cancer
circ-ERBB2,Gastric cancer
hsa_circ_0008068,Oral squamous cell carcinoma
circ_ITCH,Triple negative breast cancer
hsa_circ_0001273,Myocardial infarction
hsa_MAN1A2,Colon cancer
hsa_circ_0005004,Breast cancer
hsa_circ_0004370,Esophageal cancer
circ_0006404,Non-small cell lung cancer
circSCYL2,Breast cancer
hsa_circ_0092222,Intervertebral disc degeneration
hsa_circ_0000520,Breast cancer
circHIPK3,Coronary heart disease
hsa_circ_0003731,Hepatocellular carcinoma
hsa_circ_0091742,Gastric cancer
hsa_circ_0000013,Lung cancer
hsa_circ_0067512,Lung adenocarcinoma
hsa_circ_101975,osteoarthritis
hsa_circ_000466,Hepatocellular carcinoma
hsa_circRNA_406841,Thyroid cancer
CiRS-7,Ovarian cancer
CDR1as,Prostate cancer
hsa_circ_0001546,Bladder cancer
hsa_circRNA_406494,Thyroid cancer
hsa_circ_0001859/hsa_circ_001783,Breast cancer
hsa_circRNA_101237,Non-small cell lung cancer
hsa_circ_0025580,Esophageal cancer
hsa_circ_012091,Silicosis
circ-0001801,Glioblastoma
hsa_circRNA_103936,Alzheimer's disease
hsa_circ_0000110,Gastric cancer
hsa_circ_0076248,Glioblastoma
hsa_circ_0000284,Oxidative injury
hsa_circ_0048211,Postmenopausal osteoporosis
hsa_circ_0000284/circHIPK3,Kidney cancer
hsa_circ_101128,Tuberculosis
hsa_circ_0044520,Laryngeal squamous cell carcinoma
circ_0067934,Glioblastoma
circ_0007444,Gastric cancer
circ_0071662,Bladder cancer
hsa_circ_103827,maternal aging
hsa_circ_0000268,Gastric cancer
hsa_circ_0050898,Moyamoya disease
hsa_circ_10072088,Papillary thyroid carcinoma
hsa_circ_0002316,Systemic lupus erythematosus
hsa_circ_0069131,gastric cancer
hsa_circ_100284,arsenic poisoning; arsenite-induced skin oncogenesis
hsa_circ_0000594,Glioma
circDNM3OS,Cholangiocarcinoma
hsa_circ_0004015,Non-small cell lung cancer
hsa_circ_10388,Glioblastoma
circ_0067934,esophageal squamous cell carcinoma
circPTCH1,Renal cell carcinoma
circRPMS1,Nasopharyngeal carcinoma
hsa_circ_0007874,Cervical cancer
hsa_circ_0072765,Radiation-induced liver fibrosis
hsa_circ_0074039,Colorectal cancer
circ-ELF2,Glioma
CircATP2B4,Pulmonary arterial hypertension
circHIAT1,Gastric cancer
hsa_circ_0103398,Gastric cancer
hsa_circRNA_005239,Breast cancer
circEHMT1,Breast cancer
17_50190326_50194041_-,Hypertrophic scar
hsa_circ_004121,Hepatic steatosis
hsa_circ_0101145,Hepatocellular carcinoma
circXPO1,Lung adenocarcinoma
hsa_circ_0006461,Hepatocellular carcinoma
hsa_circ_01619,Endometrial cancer
hsa_circRNA_101505,Hepatocellular carcinoma
hsa_circRNA_006562,Cholesteatoma
hsa_circ_103047,rheumatoid arthritis
Circ-E2F3,Retinoblastoma
hsa_circ_0000043,Breast cancer
hsa_circ_0000239,Hypopharyngeal carcinoma
hsa_circ_0025033,Ovarian cancer
hsa_circ_0001577,Polycystic ovary syndrome
hsa_circ_0000284/circHIPK3,Non-small cell lung cancer
circ9119,Ovarian cancer
circSNX27,Hepatocellular carcinoma
hsa_circ_0116061,Osteoarthritis
hsa_circ_001988,colorectal cancer
hsa-circRNA11783-2,Type2 diabetes mellitus
hsa_circRNA_103516,Inflammatory bowel disease
hsa_circ_0001850,Proliferative diabetic retinopathy
hsa_circ_0007580,Non-small cell lung cancer
hsa_circ_406918,diabetic retinopathy
hsa_circRNA_100787,Thyroid cancer
hsa_circ_104593,rheumatoid arthritis
hsa_circ_0000034,Retinoblastoma
hsa_circ_0072387,Oral squamous cell carcinoma
hsa_circ_0006411,Glioblastoma
hsa_circ_0023064,Colon cancer
hsa_circ_0008305,Intervertebral disc degeneration
hsa_circ_0067934,Cervical cancer
cir-GLI2/hsa_circ_0056288,Osteosarcoma
hsa_circ_0054345,liver cancer
hsa_circ_0007158,Intervertebral disc degeneration
hsa_circ_0000284/circHIPK3,Preeclampsia
ciRS-7,Alzheimers disease
Circ_0046599,Hepatocellular carcinoma
